test_id,train_id,cosine
S0441,S0532,0.689370950299443
S1263,S0271,0.6734590494828048
S0608,S0361,0.6666501173133937
S0171,S0532,0.6234692341604103
S0225,S0237,0.6228215481800404
S0463,S0253,0.594707500946208
S0194,S0657,0.5933646873628079
S0648,S0395,0.5828616153271627
S0942,S0110,0.5824803971813413
S0817,S0532,0.5821242688989395
S0076,S0277,0.5785276592560269
S0326,S0931,0.5680833747409845
S1189,S0464,0.5648272115702646
S0449,S0654,0.5526738942560238
S0489,S0662,0.5513752608606702
S0352,S0173,0.5397156762183724
S0991,S1032,0.5354672847035044
S0311,S0636,0.5319309903586114
S0010,S0023,0.5315793942979228
S0892,S0048,0.5187928696441463
S0055,S0439,0.5144747033432016
S0080,S1022,0.5132471723016168
S0144,S0167,0.5116913076799006
S0108,S0596,0.511514053175057
S0155,S0795,0.5103541637253741
S0426,S0715,0.5098438415364669
S0343,S0382,0.5090530974477998
S0663,S1195,0.5055764720376643
S1280,S0808,0.499541951023748
S0006,S0847,0.4926481782565086
S1081,S0552,0.4885106323685128
S0581,S0065,0.48598492255933906
S0745,S0924,0.48067099750876935
S0416,S0749,0.475034692710791
S0121,S0974,0.4721736065399157
S1199,S0048,0.467101882458712
S0595,S0079,0.4633756098654207
S0926,S0739,0.46207918333304654
S0299,S0802,0.4600684729827715
S0547,S0589,0.4575521397046084
S0128,S0541,0.4566596578086383
S1024,S0535,0.45574786437298814
S0390,S0662,0.45519825324896496
S0236,S0543,0.45309176050588196
S0750,S0059,0.4529551311969139
S0288,S0018,0.45131407385204286
S0917,S0623,0.4498531175063548
S0550,S0042,0.4498358822777572
S0287,S1222,0.4468924441560809
S1019,S1027,0.4445449885933308
S1275,S1238,0.44329215198325655
S0969,S0292,0.44135452936816194
S1139,S0260,0.4360691908830621
S0633,S0488,0.4357567516959103
S0905,S0419,0.4308403690965364
S0757,S1043,0.43077172571373384
S0935,S1064,0.42804725691706413
S0783,S0590,0.4264543791904458
S1144,S0230,0.4259857619873405
S0289,S0070,0.4249821751863723
S0793,S0250,0.4249766242444336
S0848,S0231,0.42345657861631697
S0336,S0706,0.42308883389141044
S0515,S0158,0.4222210511180967
S0477,S0543,0.42157333996196455
S0089,S0563,0.41792692836101775
S0371,S0124,0.4169202478925813
S0062,S0543,0.41470040168701994
S1006,S1278,0.41446433090998414
S1152,S0042,0.41428136362496404
S0613,S0312,0.4126713371570862
S0177,S1181,0.4120156067769418
S0331,S0064,0.4114788748238251
S0637,S0388,0.4083905803827378
S0296,S0914,0.4047434424528858
S1243,S0998,0.4041213273917851
S0381,S0455,0.4030548337438934
S0354,S1228,0.40021068780038954
S0752,S0552,0.39709735790131745
S0221,S0359,0.3970500385168121
S0943,S0042,0.395499154802073
S0387,S0042,0.3952496050660803
S1084,S0730,0.39387350926605263
S1009,S1096,0.3930890453412444
S0255,S0297,0.39081159026023293
S1176,S0382,0.39032442568922865
S1047,S0009,0.390217715118852
S1135,S1272,0.3900199027433502
S1235,S0642,0.38960710202029936
S0886,S0806,0.388303062591386
S0537,S0116,0.3877267872221639
S0762,S0702,0.3874428681356706
S0377,S1121,0.38727195563104977
S0756,S0051,0.38703614138203585
S1207,S1249,0.3863826301691131
S0348,S0490,0.3845821149085254
S0846,S0734,0.38224162901061903
S0591,S0642,0.3812494132935652
S0571,S0642,0.38024545761597883
S1060,S0059,0.3797871710017208
S0203,S0620,0.37977437364047606
S1211,S0552,0.3783514986271511
S0257,S0049,0.37644977454426176
S0125,S1182,0.3763593280576672
S0077,S0580,0.3744374592637467
S0979,S0048,0.3737152821535634
S0274,S0370,0.37296938095423793
S1264,S0227,0.37128386808806596
S0417,S0246,0.3696993867120808
S1050,S0642,0.3687014811750542
S0013,S0484,0.36680183196037336
S1234,S1065,0.3657972816521033
S0094,S0242,0.3655294508592793
S0522,S0910,0.36390058605378567
S0319,S0907,0.3622284271042568
S0778,S0998,0.3605831087041323
S0854,S0290,0.36002220431495896
S0372,S1077,0.35484106494838935
S1227,S0214,0.35299232916285095
S0495,S0656,0.3508177754496007
S1206,S0466,0.3503260574793682
S0605,S0051,0.3492585492163081
S0920,S0468,0.3471829461747368
S0183,S1231,0.34553327506046605
S1236,S0615,0.3442494594641943
S0127,S1044,0.34152741746332754
S1103,S0856,0.3392116944330627
S1001,S0339,0.339007434528977
S0256,S1142,0.3352081945620335
S0412,S0869,0.3347495617890517
S0768,S0674,0.33354556895242876
S1268,S0115,0.331782425816563
S0003,S0484,0.33145682923941583
S1106,S0474,0.3304703205055611
S0083,S0641,0.3293004642345465
S1155,S0340,0.32896279704752157
S0878,S0210,0.3287382597492459
S0518,S0691,0.32835079661260835
S0857,S1055,0.3271287494691802
S0530,S0268,0.3257137840245607
S0894,S0865,0.3205788112689608
S0881,S0078,0.3174108368640412
S0232,S0726,0.3153459544429459
S0276,S0930,0.3146000610590452
S0774,S0662,0.31237954791041145
S0699,S0668,0.3118150372175673
S0469,S0445,0.31101930372435876
S0022,S0340,0.31012440554052767
S0909,S1092,0.30922508887026406
S0265,S0716,0.30808714098443307
S0645,S1158,0.3077047826227077
S0039,S0028,0.3062872566170764
S0885,S0494,0.3057245561137414
S0629,S1221,0.3026398718921589
S0619,S0506,0.30246304822450226
S0061,S1190,0.29961015313774714
S0549,S0865,0.2974479343602356
S0840,S1247,0.29582453048430335
S0526,S0028,0.29217683219497864
S0915,S0568,0.2918683850679204
S0378,S0064,0.2914554360399397
S0810,S0487,0.2909255621263966
S0936,S1221,0.28909593046607784
S0047,S0513,0.28825328236795095
S1215,S0026,0.2851431390716284
S0248,S0231,0.2841801036246308
S1258,S0913,0.2824487790730758
S1046,S0814,0.28239084278208915
S0819,S0987,0.28220777760469196
S0614,S0575,0.2818638107813617
S0946,S0602,0.2817617696681649
S0740,S0064,0.2816948254682197
S0174,S1276,0.2785242255442531
S0635,S0734,0.278486699502007
S0092,S1190,0.27848052817205193
S1058,S0310,0.277111974988654
S1034,S0814,0.2699355781468184
S0754,S0250,0.266687447643701
S0380,S1089,0.26531156937188227
S1146,S0210,0.2636313394428685
S0665,S0626,0.259785043013398
S0283,S0168,0.25713215847186355
S0123,S0215,0.2554370506201414
S0512,S0625,0.25540737003022435
S1002,S0686,0.25439915961302867
S0888,S1049,0.2540773097716387
S0670,S1096,0.25394680720800505
S0087,S0551,0.253333782339979
S0957,S0997,0.25274969696285393
S1137,S0490,0.25112514991458773
S0815,S0543,0.2509081372992946
S0682,S0899,0.24863524394931633
S0516,S0480,0.24355405837880087
S0983,S0891,0.24312731761384337
S0718,S0558,0.239744014113825
S0673,S0383,0.23955733844163113
S0175,S0338,0.2376424955468616
S0436,S0579,0.23696160703844385
S0947,S0138,0.23631464098204302
S0919,S0669,0.23577189840065876
S0437,S0908,0.23160125081703253
S0132,S0543,0.23112885568931235
S1051,S0882,0.22945786045450778
S0751,S0868,0.2275667743282655
S0435,S0961,0.22736458770697096
S0677,S0562,0.22652892739707942
S0826,S0845,0.2254118272054599
S1174,S0250,0.2247600500640093
S1169,S0565,0.2231972886040082
S0528,S0649,0.2204939447060955
S1229,S1257,0.2194671416391843
S1172,S0305,0.2189936550219527
S0007,S0357,0.2169568429760566
S0766,S0204,0.21485244997843697
S0771,S0525,0.2123731511497874
S0394,S0620,0.2022617201175411
S0362,S1203,0.20193626880275775
S0986,S0422,0.1937033955030498
S0700,S1071,0.19191632588893698
S0585,S0491,0.18836897405350497
S0678,S1054,0.18577155502692014
S0861,S0065,0.18259964171762677
S0479,S1230,0.1804253970786522
S0152,S1071,0.1767244235348379
S0202,S0929,0.17661344889252115
S0824,S1164,0.17543217768826438
S1202,S0903,0.16866441899366327
S1151,S0339,0.1645566498482453
S0275,S1165,0.1601019876942151
S1192,S0151,0.15673222170361353
S1091,S0675,0.15249184000242752
S1267,S0204,0.14549532262093812
S0866,S0527,0.14165712151680968
S0379,S0017,0.13975264992985645
S1010,S0548,0.12996576348817443
S0433,S0205,0.1270914964397155
