threshold,cost,known_coverage,unknown_false_accept_rate
0.1,1.2714285714285714,0.9916666666666667,0.75
0.15,0.8964285714285715,0.7416666666666667,0.3
0.2,0.7642857142857142,0.48333333333333334,0.15
0.25,0.7,0.3375,0.05
0.3,0.7214285714285714,0.25,0.05
0.35,0.7214285714285714,0.17083333333333334,0.0
0.4,0.7714285714285715,0.1125,0.0
0.45,0.7857142857142857,0.08333333333333333,0.0
0.5,0.8142857142857143,0.05,0.0
0.55,0.825,0.0375,0.0
0.6,0.8392857142857143,0.020833333333333332,0.0
0.65,0.8464285714285714,0.0125,0.0
0.7,0.8535714285714285,0.004166666666666667,0.0
0.75,0.8535714285714285,0.004166666666666667,0.0
0.8,0.8535714285714285,0.004166666666666667,0.0
0.85,0.8571428571428571,0.0,0.0
0.9,0.8571428571428571,0.0,0.0
0.95,0.8571428571428571,0.0,0.0
