threshold,cost,known_coverage,unknown_false_accept_rate
0.1,1.1535714285714285,1.0,1.0
0.15,1.1535714285714285,1.0,1.0
0.2,1.1535714285714285,1.0,1.0
0.25,1.1535714285714285,1.0,1.0
0.3,1.1428571428571428,0.9875,1.0
0.35,1.1178571428571429,0.9833333333333333,0.975
0.4,1.0321428571428573,0.9583333333333334,0.9
0.45,1.0,0.9333333333333333,0.825
0.5,0.9571428571428572,0.8916666666666667,0.775
0.55,0.8464285714285714,0.8625,0.675
0.6,0.8107142857142857,0.8208333333333333,0.65
0.65,0.7607142857142857,0.7875,0.6
0.7,0.7535714285714286,0.7458333333333333,0.6
0.75,0.7178571428571429,0.725,0.525
0.8,0.6428571428571429,0.6916666666666667,0.425
0.85,0.6035714285714285,0.6375,0.35
0.9,0.5821428571428572,0.5875,0.275
0.95,0.5035714285714286,0.5291666666666667,0.125
